JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
ROCKLAND_ME,ROCKLAND,ME,ROCKLAND,ROCKLANDME,220207,ROCKLAND,ME,ROCKLAND_ME,ROCKLAND_ME
ROCKPORT_MA,ROCKPORT,MA,ROCKPORT,ROCKPORTMA,241707,ROCKPORT,MA,ROCKPORT_MA,ROCKPORT_MA
ROCKPORT_ME,ROCKPORT,ME,ROCKPORT,ROCKPORTME,220307,ROCKPORT,ME,ROCKPORT_ME,ROCKPORT_ME
ROUND POND_ME,ROUND POND,ME,ROUNDPOND,ROUNDPONDME,224709,ROUND POND,ME,ROUND POND_ME,ROUND POND_ME
RYE_NH,RYE,NH,RYE,RYENH,320401,RYE,NH,RYE_NH,RYE_NH
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,SANDWICH_EAST_SANDWICH_FORESTDALE,MA,SANDWICHEASTSANDWICHFORESTDALE,SANDWICHEASTSANDWICHFORESTDALEMA,240701,SANDWICH (SANDWICH CENTER),MA,SANDWICH (SANDWICH CENTER)_MA,SANDWICH_MA
SAUGUS_MA,SAUGUS,MA,SAUGUS,SAUGUSMA,241107,SAUGUS,MA,SAUGUS_MA,SAUGUS_MA
SCARBOROUGH_ME,SCARBOROUGH,ME,SCARBOROUGH,SCARBOROUGHME,221701,SCARBOROUGH,ME,SCARBOROUGH_ME,SCARBOROUGH_ME
SCITUATE_NORTH_SCITUATE_MA,SCITUATE_NORTH_SCITUATE,MA,SCITUATENORTHSCITUATE,SCITUATENORTHSCITUATEMA,240813,SCITUATE (SCITUATE CENTER),MA,SCITUATE (SCITUATE CENTER)_MA,SCITUATE_MA
SEA ISLE CITY_NJ,SEA ISLE CITY,NJ,SEAISLECITY,SEAISLECITYNJ,330509,SEA ISLE CITY,NJ,SEA ISLE CITY_NJ,SEA ISLE CITY_NJ
SEABROOK_NH,SEABROOK,NH,SEABROOK,SEABROOKNH,320901,SEABROOK,NH,SEABROOK_NH,SEABROOK_NH
SHINNECOCK_NY,SHINNECOCK,NY,SHINNECOCK,SHINNECOCKNY,351135,SHINNECOCK,NY,SHINNECOCK_NY,SHINNECOCK_NY
SMALL POINT_ME,SMALL POINT,ME,SMALLPOINT,SMALLPOINTME,225415,SMALL POINT,ME,SMALL POINT_ME,SMALL POINT_ME
SORRENTO_ME,SORRENTO,ME,SORRENTO,SORRENTOME,223303,SORRENTO,ME,SORRENTO_ME,SORRENTO_ME
SOUTH BRISTOL_ME,SOUTH BRISTOL,ME,SOUTHBRISTOL,SOUTHBRISTOLME,224809,SOUTH BRISTOL,ME,SOUTH BRISTOL_ME,SOUTH BRISTOL_ME
SOUTH HARPSWELL_ME,SOUTH HARPSWELL,ME,SOUTHHARPSWELL,SOUTHHARPSWELLME,221001,SOUTH HARPSWELL,ME,SOUTH HARPSWELL_ME,SOUTH HARPSWELL_ME
SOUTH THOMASTON_ME,SOUTH THOMASTON,ME,SOUTHTHOMASTON,SOUTHTHOMASTONME,220407,SOUTH THOMASTON,ME,SOUTH THOMASTON_ME,SOUTH THOMASTON_ME
SOUTHPORT_ME,SOUTHPORT,ME,SOUTHPORT,SOUTHPORTME,224909,SOUTHPORT,ME,SOUTHPORT_ME,SOUTHPORT_ME
SOUTHWEST HARBOR_ME,SOUTHWEST HARBOR,ME,SOUTHWESTHARBOR,SOUTHWESTHARBORME,223403,SOUTHWEST HARBOR,ME,SOUTHWEST HARBOR_ME,SOUTHWEST HARBOR_ME
STONINGTON_ME,STONINGTON,ME,STONINGTON,STONINGTONME,223503,STONINGTON,ME,STONINGTON_ME,STONINGTON_ME
STONINGTON_MYSTIC_PAWCATUCK_CT,STONINGTON_MYSTIC_PAWCATUCK,CT,STONINGTONMYSTICPAWCATUCK,MYSTICCT,72211,MYSTIC,CT,MYSTIC_CT,MYSTIC_CT
STONINGTON_MYSTIC_PAWCATUCK_CT,STONINGTON_MYSTIC_PAWCATUCK,CT,STONINGTONMYSTICPAWCATUCK,STONINGTONMYSTICPAWCATUCKCT,71011,STONINGTON,CT,STONINGTON_CT,STONINGTON_CT
STUEBEN_ME,STUEBEN,ME,STUEBEN,STUEBENME,227319,STEUBEN,ME,STEUBEN_ME,STEUBEN_ME
SWANS ISLAND_ME,SWANS ISLAND,ME,SWANSISLAND,SWANSISLANDME,223803,SWANS ISLAND,ME,SWANS ISLAND_ME,SWANS ISLAND_ME
TREMONT_ME,TREMONT,ME,TREMONT,TREMONTME,222503,TREMONT,ME,TREMONT_ME,TREMONT_ME
VINALHAVEN_ME,VINALHAVEN,ME,VINALHAVEN,VINALHAVENME,222307,VINALHAVEN,ME,VINALHAVEN_ME,VINALHAVEN_ME
VIRGINIA BEACH/LYNNHAVEN_VA,VIRGINIA BEACH/LYNNHAVEN,VA,VIRGINIABEACHLYNNHAVEN,VIRGINIABEACHLYNNHAVENVA,490951,VIRGINIA BEACH,VA,VIRGINIA BEACH_VA,VIRGINIA BEACH_VA
VIRGINIA BEACH/LYNNHAVEN_VA,VIRGINIA BEACH/LYNNHAVEN,VA,VIRGINIABEACHLYNNHAVEN,VIRGINIABEACHLYNNHAVENVA,490851,LYNNHAVEN,VA,LYNNHAVEN_VA,LYNNHAVEN_VA
WANCHESE_NC,WANCHESE,NC,WANCHESE,WANCHESENC,360219,WANCHESE,NC,WANCHESE_NC,WANCHESE_NC
WARWICK_RI,WARWICK,RI,WARWICK,WARWICKRI,421003,WARWICK (RR - APPONAUG),RI,WARWICK (RR - APPONAUG)_RI,WARWICK_RI
WELLFLEET_MA,WELLFLEET,MA,WELLFLEET,WELLFLEETMA,241101,WELLFLEET,MA,WELLFLEET_MA,WELLFLEET_MA
WEST POINT_ME,WEST POINT,ME,WESTPOINT,WESTPOINTME,225515,WEST POINT,ME,WEST POINT_ME,WEST POINT_ME
WESTPORT_MA,WESTPORT,MA,WESTPORT,WESTPORTMA,241903,WESTPORT,MA,WESTPORT_MA,WESTPORT_MA
WILDWOOD_NJ,WILDWOOD,NJ,WILDWOOD,WILDWOODNJ,330409,WILDWOOD,NJ,WILDWOOD_NJ,WILDWOOD_NJ
WINTER HARBOR_ME,WINTER HARBOR,ME,WINTERHARBOR,WINTERHARBORME,224003,WINTER HARBOR,ME,WINTER HARBOR_ME,WINTER HARBOR_ME
