JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
SOUTHPORT_ME,SOUTHPORT,ME,SOUTHPORT,SOUTHPORTME,224909,SOUTHPORT,ME,SOUTHPORT_ME,SOUTHPORT_ME
SAUGUS_MA,SAUGUS,MA,SAUGUS,SAUGUSMA,241107,SAUGUS,MA,SAUGUS_MA,SAUGUS_MA
DUXBURY_MA,DUXBURY,MA,DUXBURY,DUXBURYMA,242713,DUXBURY (DUXBURY CENTER),MA,DUXBURY (DUXBURY CENTER)_MA,DUXBURY_MA
CUSHING_ME,CUSHING,ME,CUSHING,CUSHINGME,221307,CUSHING,ME,CUSHING_ME,CUSHING_ME
ADDISON_ME,ADDISON,ME,ADDISON,ADDISONME,226619,ADDISON,ME,ADDISON_ME,ADDISON_ME
CHEBEAGUE ISLAND_ME,CHEBEAGUE ISLAND,ME,CHEBEAGUEISLAND,CHEBEAGUEISLANDME,220401,CHEBEAGUE ISLAND,ME,CHEBEAGUE ISLAND_ME,CHEBEAGUE ISLAND_ME
BRUNSWICK_ME,BRUNSWICK,ME,BRUNSWICK,BRUNSWICKME,222001,BRUNSWICK,ME,BRUNSWICK_ME,BRUNSWICK_ME
SCARBOROUGH_ME,SCARBOROUGH,ME,SCARBOROUGH,SCARBOROUGHME,221701,SCARBOROUGH,ME,SCARBOROUGH_ME,SCARBOROUGH_ME
GEORGETOWN_ME,GEORGETOWN,ME,GEORGETOWN,GEORGETOWNME,225915,GEORGETOWN,ME,GEORGETOWN_ME,GEORGETOWN_ME
DAVISVILLE_RI,DAVISVILLE,RI,DAVISVILLE,DAVISVILLERI,421709,DAVISVILLE,RI,DAVISVILLE_RI,DAVISVILLE_RI
BLUE HILL_ME,BLUE HILL,ME,BLUEHILL,BLUEHILLME,225103,BLUE HILL,ME,BLUE HILL_ME,BLUE HILL_ME
FREEPORT_ME,FREEPORT,ME,FREEPORT,FREEPORTME,220701,FREEPORT,ME,FREEPORT_ME,FREEPORT_ME
HYANNISPORT_MA,HYANNISPORT,MA,HYANNISPORT,HYANNISPORTMA,243001,HYANNISPORT,MA,HYANNISPORT_MA,HYANNISPORT_MA
SORRENTO_ME,SORRENTO,ME,SORRENTO,SORRENTOME,223303,SORRENTO,ME,SORRENTO_ME,SORRENTO_ME
HANCOCK_ME,HANCOCK,ME,HANCOCK,HANCOCKME,220903,HANCOCK (COUNTY),ME,HANCOCK (COUNTY)_ME,HANCOCK_ME
HANCOCK_ME,HANCOCK,ME,HANCOCK,HANCOCKME,220803,HANCOCK,ME,HANCOCK_ME,HANCOCK_ME
